"study_name","population","sample_size","predictor","outcome","model","effect_size","performance","adjustment","validation_method","study_design","source_anchor","source_file"
"Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit","Critically ill children of age one month to 15 years staying in PICU for more than 24 hours","286","p-SOFA and PRISM III 24 score","Mortality within 30 days of PICU admitted children","Not reported","Not reported","p-SOFA score (AUC=0.81, 95% CI=0.76-0.86, p=0.001), PRISM III 24 score (AUC=0.75, 95% CI=0.69-0.81, p=0.001). For the prediction of 30-day mortality at the cut-off value of p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, and accuracy was 69.93%. Whereas at the cut-off value of PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, and accuracy was 65.03%","Not reported","ROC curves analysis","Cross-validation study","Abstract","Baloch_2022.pdf"
"Besen et al.","Patients admitted to a Brazilian public ICU with sepsis","957","Sepsis-3 definitions (infection, sepsis and septic shock); Lactate levels","ICU mortality","Logistic regression model","Not reported","Area under the receiver operating characteristic curve (AUROC); continuous net reclassification improvement (NRI); integrated discrimination index (IDI)","Age, severity at baseline (SAPS 3), use of support measures (renal replacement therapy, mechanical ventilation)","ROC analysis","Retrospective cohort study","Page 2 - Methods section","Besen_2016.pdf"
"Mortality predictors in patients with suspected sepsis in the emergency department of a tertiary care hospital","Adult patients with suspicion of sepsis at the ED of a tertiary care hospital in Brazil","665","qSOFA and severity criteria","Overall mortality and 30-day mortality","Poisson regression","Positive blood cultures (RR, 1.63;95% CI, 1.10 to 2.41) and general administration of vasopressors at the ED (RR, 2.14;95% CI, 1.44 to 3.17) were associated with 30-day mortality. The administration of vasopressors at the ED (RR, 2.25; CI 95%, 1.58 to 3.21) was found to be a predictor of overall mortality.","Not reported","sex, age, different qSOFA points, different severity criteria points, time to ATB, lactate, blood cultures, creatinine, platelets, and administration of vasopressor","ROC curves","retrospective cohort study","Page 2 of 9","Bidart_2024.pdf"
"Epidemiology and Mortality of Sepsis in Intensive Care Units in Prefecture-Level Cities in Sichuan, China: A Prospective Multicenter Study","Patients admitted to the ICU of 7 tertiary hospitals in Sichuan, China between October 10, 2017 and January 9, 2018 and screened for sepsis using the Sepsis-3 criteria","294","central nervous system dysfunction, lowest blood phosphorus level, highest lactate level, 24-h Acute Physiologic Assessment and Chronic Health Evaluation-II (APACHE-II) score, and lung infection","mortality","multivariable logistic regression","central nervous system dysfunction (odds ratio [OR]=2.59, 95% confidence interval [CI]: 1.15-5.84, P=0.022), lowest blood phosphorus level (OR=2.56, 95% CI: 1.21-5.44, P=0.014), highest lactate level (OR=1.20, 95% CI: 1.10-1.32, P<0.001), 24-h Acute Physiologic Assessment and Chronic Health Evaluation-II (APACHE-II) score (OR=1.08, 95% CI: 1.03-1.13, P=0.002), and lung infection (OR=2.57, 95% CI: 1.30-5.09, P=0.007)","Not reported","Variables with P<0.05 were analyzed by multivariable logistic regression using the forward method","Not reported","prospective, multicenter, observational study","Page 1 - Results section","Cao_2021.pdf"
"Association between serum phosphate and mortality in critically ill patients","critically ill patients","27 131","serum phosphate levels","28-day and 90-day mortality","Kaplan-Meier survival analysis, restricted cubic spline functions, Cox regression","At the medical ICU, hyperphosphataemia was associated with increased 28-day mortality (HR=0.64, 95% CI 0.48 to 0.84, p=0.0017) and 90-day mortality (HR=0.72, 95% CI 0.57 to 0.91, p=0.0067)","Not reported","potential confounders","Not reported","retrospective cohort study","Page 1 - Abstract section","Chen_2021.pdf"
"Risk and Prognostic Factors in Very Old Patients with Sepsis Secondary to Community-Acquired Pneumonia","Very old (>=80 years) patients hospitalized with community-acquired pneumonia (CAP)","1238","Chronic renal disease and neurological disease","30-day mortality","Generalized linear model analyses, multivariable (weighted) logistic regression model","Not reported","Area under the receiver operating characteristic (ROC) curve calculated for the ability to predict sepsis and 30-day mortality","gender, smoking status, alcohol consumption, influenza vaccine, pneumococcal vaccine, previous inhaled corticosteroids, previous systemic corticosteroids, previous antibiotic within a week of admission, chronic pulmonary disease, chronic cardiovascular disease, chronic renal disease, chronic liver disease, chronic neurological disease, diabetes mellitus, and nursing home residency","internal validation using ordinary nonparametric bootstrapping with 1000 bootstrap samples","retrospective observational study of prospectively collected data","Page 1 - Abstract, Page 2-3 - Methods","Cilloniz_2019.pdf"
"Gai_2022","Sepsis patients","Not reported","W[^","Mortality","Logistic regression","OR (31==)","Not reported","Not reported","Not reported","Retrospective cohort","Page 1","Gai_2022.pdf"
"Risk factors for death in patients with sepsis admitted to an obstetric intensive care unit","Patients with sepsis admitted to an obstetric intensive care unit","155","Need for vasopressors during hospitalization","Death","Multiple logistic regression","OR =26.38; 95% CI: 5.87 –118.51","Not reported","Not reported","Not reported","Retrospective cohort study","Abstract","Holanda_2020.pdf"
"Предикторы летального исхода у пациентов с рефрактерным септическим шоком (Predictors of Lethal Outcomes in Patients with Refractory Septic Shock)","Patients with refractory septic shock","79","SOFA score","28-day mortality","Multivariate regression analysis","adj. OR 1.626 [95%-ный ДИ 1.313; 2.014], p < 0.001","AUC 0.984 [95%-ный ДИ 0.964; 1.000], p < 0.001","age, sex and confounding variables","ROC analysis","Retrospective study","Page 30 - Results section","Kochkin_2021.pdf"
"A simple mortality prediction model for sepsis patients in intensive care","Adult patients fulfilling the Sepsis-3 criteria admitted to four general ICUs","1984","A simple six-parameter model consisting of age, immunosuppression, Glasgow Coma Scale, body temperature, C-reactive protein and bilirubin","30-day mortality","Backward stepwise multivariate logistic regression","OR of more than one for age, immunosuppression, CRP and bilirubin and OR of less than one for GCS score and body temperature","AUC of 0.72 (95% confidence interval (CI) 0.69–0.75)","24 parameters significant in univariate logistic regression analyses","Five-fold cross-validation with 50 repeats","Retrospective multicentre observational study","Page 372 - Abstract, Page 373 - Methods, Page 375 - Results","Koozi_2023.pdf"
"Analysis of early risk factors for the lethal outcome of abdominal sepsis","Patients with abdominal sepsis or septic shock","134","SOFA score > 8 and lactateemia > 1.8 mmol/l","Lethal outcome in ICU","logistic regression","SOFA > 8 (OR 1.5712; 95 % CI 1.1934–2.0686); lactateemia > 1.8 mmol/l (OR 3.5293; 95 % CI 1.7421–7.1500)","SOFA > 8 (AUC 0.813; sensitivity 74 %, specificity 81 %); lactateemia > 1.8 mmol/l (AUC 0.799; sensitivity 63 %, specificity 79 %)","Not reported","ROC analysis","retrospective observational study","Page 70 - Abstract section","Kozlov_2022.pdf"
"Prognostic accuracy of the serum lactate level, the SOFA score and the qSOFA score for mortality among adults with Sepsis","Adults with sepsis","1865","Lactate level, SOFA score, qSOFA score","30-day mortality, 90-day mortality, 1-year mortality, in-hospital mortality, overall mortality","Univariate and multivariate Cox regression model","Not reported","AUROC for lactate: 0.664 (95% CI, 0.639 –0.689); AUROC for qSOFA: 0.547 (95% CI, 0.521 –0.574); AUROC for SOFA: 0.686 (95% CI, 0.661 –0.710)","Age, sex, admission type, ICU type, albumin, bilirubin, BUN, potassium, bicarbonate, Cr, platelets","ROC analysis","Retrospective cohort","Page 1 - Abstract, Results, Page 2, 3","Liu_2019.pdf"
