study_name;population;sample_size;predictor;outcome;timing;method;effect_size;performance;source_anchor;notes;;
Comparison of Pediatric Sequential Organ Failure Assessment and Pediatric Risk of Mortality III Score as Mortality Prediction in Pediatric Intensive Care Unit;critically ill children admitted to the Pediatric Intensive Care Unit (PICU);286;p-SOFA and PRISM III 24 scores;30-day mortality;Within 24 hours of admission;cross-validation study;p-SOFA score (area under the curve (AUC)=0.81, 95% CI=0.76-0.86, p=0.001) and PRISM III 24 score (AUC=0.75, 95% CI=0.69-0.81, p=0.001);p-SOFA>2, the sensitivity was 93.87%, specificity was 38.21%, and accuracy was 69.93%. PRISM III 24 score>8, the sensitivity was 55.83%, specificity was 77.24%, and accuracy was 65.03%;Abstract, Results;p-SOFA score is a good predictor for 30-day mortality in critically ill children and had better accuracy than the PRISM III 24 score.;;
Sepsis-3 definitions predict ICU mortality in a low–middle-income country;Patients admitted to a Brazilian public ICU with sepsis;957;Sepsis-3 definitions (infection, sepsis and septic shock), Sepsis-2 definitions (sepsis, severe sepsis and septic shock), Lactate levels;ICU mortality;2010 to 2015;Retrospective cohort study. Area under the receiving operator characteristic curves were constructed, and the net reclassification index and integrated discrimination index for the addition of lactate as a categorical variable to each stratum of definition were evaluated.;The ICU mortality rate was progressively higher across categories of sepsis as defined by the Sepsis-3 consensus: infection with no organ dysfunction—7/103 (7%);;;;;
Mortality predictors in patients with suspected sepsis;Adult patients with suspicion of sepsis at the ED of a tertiary care hospital in Brazil;665;qSOFA, severity criteria, vasopressors, positive blood cultures;Overall mortality and 30-day mortality, ICU admission;at admission;retrospective cohort study;Vasopressors at the ED (RR, 2.25;;;;;
Epidemiology and Mortality of Sepsis in Intensive Care Units in Prefecture-Level Cities in Sichuan; China: A Prospective Multicenter Study;Patients admitted to the comprehensive ICU of 7 tertiary hospitals in Sichuan;294;central nervous system dysfunction, lowest blood phosphorus level, highest lactate level, 24-h Acute Physiologic Assessment and Chronic Health Evaluation-II (APACHE-II) score, and lung infection;mortality;hospital stay;multivariable logistic regression;central nervous system dysfunction (odds ratio [OR]=2.59, 95% confidence interval [CI]: 1.15-5.84, P=0.022), lowest blood phosphorus level (OR=2.56, 95% CI: 1.21-5.44, P=0.014), highest lactate level (OR=1.20, 95% CI: 1.10-1.32, P<0.001), 24-h Acute Physiologic Assessment and Chronic Health Evaluation-II (APACHE-II) score (OR=1.08, 95% CI: 1.03-1.13, P=0.002), and lung infection (OR=2.57, 95% CI: 1.30-5.09, P=0.007);not reported;Results;Prospective, multicenter, observational study;
Association between serum phosphate and mortality in critically ill patients;critically ill patients;27 131;initial phosphate at admission;28-day and 90-day mortality;at admission;retrospective cohort study;hyperphosphataemia was associated with increased 28-day or 90-day mortality (HR=0.64, 95% CI 0.48 to 0.84, p=0.0017;;;;;
Risk and Prognostic Factors in Very Old Patients with Sepsis Secondary to Community-Acquired Pneumonia;Very old patients (≥80 years) hospitalized with community-acquired pneumonia (CAP);1238;Male sex, chronic renal disease, diabetes mellitus, and antibiotic therapy before admission;Sepsis (diagnosed based on the Sepsis-3 criteria);At hospital admission when diagnosing CAP. The presence of an acute respiratory distress syndrome (ARDS) was evaluated within the ﬁrst 24 h of hospital admission;Retrospective observational study of data prospectively collected using logistic regression analyses and generalized linear model analyses;Male sex (OR not reported), chronic renal disease (OR not reported), diabetes mellitus (OR not reported) were independent risk factors for sepsis, while antibiotic therapy before admission (OR not reported) was independently associated with a lower risk of sepsis.;not reported;Abstract, Results;Conducted at the Hospital Clinic of Barcelona over a 13-year period. Thirty-day and intensive care unit (ICU) mortality did not diﬀer between patients with and without sepsis. In CAP-sepsis group, chronic renal disease and neurological disease were independent risk factors for 30-day mortality. In very old patients hospitalized with CAP, in-hospital and 1-year mortality rates were increased if they developed sepsis.;;
Risk factors for the prognosis of patients with sepsis in intensive care units;Patients with sepsis admitted to the ICU;72;Peak Systolic Velocity (PSV) of superior mesenteric artery (SMA);Mortality;SMA ultrasound within the first 24 hours of ICU admission;Case-control study. Univariate and multivariate logistic regression. ROC curve analysis.;Adjusted odds ratio was 0.295 (95% CI: 0.094–0.925). The ROC analysis showed that the PSV (AUC = 0.99;;;;;
Risk factors for death in patients with sepsis admitted to an obstetric intensive care unit;Obstetric patients with sepsis admitted to the obstetric intensive care unit of a tertiary teaching hospital in northeastern Brazil;155;Septic shock at the time of hospitalization, need for vasopressors during hospitalization, lactate levels >2mmol/L at the time of diagnosis, and sequential organ failure assessment score >2 at the time of diagnosis;Death;During hospitalization;Retrospective cohort study;Septic shock at the time of hospitalization (relative risk [RR]=3.45;;;;;
Predictors of Lethal Outcomes in Patients with Refractory Septic Shock;Patients with refractory septic shock;79;SOFA score;28-day mortality;Within the first 24 hours of vasopressor administration;Retrospective study using univariate and multivariate analyses, ROC analysis;adj. OR 1.626 [95% CI 1.313;;;;;
Mortality prediction model for sepsis patients in intensive care;Adult patients fulfilling the Sepsis-3 criteria admitted to four general ICUs;1984;A six-parameter model consisting of age, immunosuppression, Glasgow Coma Scale, body temperature, C-reactive protein and bilirubin;30-day mortality;ICU admission;retrospective study, backward stepwise multivariate logistic regression;AUC of 0.72 (95% confidence interval (CI) 0.69–0.75);non-inferior to SAPS-3 (AUC 0.75, 95% CI 0.72–0.77) (p = 0.071). SOFA had an AUC of 0.67 (95% CI 0.64–0.70) and was inferior to SAPS-3 (p < 0.001) and our simple model (p = 0.0019);Abstract, Results;SAPS-3 has a lower prognostic value in sepsis than in the general ICU population. SOFA performs less well than SAPS-3.;;
